Guid,AccountId,SuppliedName,SuppliedEmail,SuppliedPhone,SuppliedCompany,Type,Status,Reason,Origin,Subject,Priority,Description,IsEscalated,Comments
da8f0c51-3b37-40d4-900c-fdc8c454ab28,ad15c101-d872-4de4-82f2-d38e4333b5a4,#N/A,#N/A,#N/A,#N/A,Feature Request,Closed,Instructions not clear,#N/A,Login credentials,Medium,I have forgotten my login. Please send me new credentials.,false,#N/A
a5cb89d1-0245-46df-b2f2-12d7d8ca6a56,4a865490-9780-46da-93ed-336f020aa95e,#N/A,#N/A,#N/A,#N/A,Feature Request,New,New problem,#N/A,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,false,#N/A
1217ba83-9ccc-440d-8bfc-50a88a25d47f,9f6814d7-8a04-4d8f-856d-3975f8f0cb00,#N/A,#N/A,#N/A,#N/A,Problem,Closed,New problem,#N/A,Newest update cause an error,High,When I upgraded to the newest version some of my integrations broke,false,#N/A
5422a3d9-b30d-4764-947d-df56f1f302ec,e5fcdd56-47f8-4694-bfa1-12a494ae728e,#N/A,#N/A,#N/A,#N/A,Question,New,User didn't attend training,#N/A,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,false,#N/A
46562ab9-7e58-40ac-aef7-19c3c44bafde,9a7174e1-7076-4faa-a3e8-fa545ac5de65,#N/A,#N/A,#N/A,#N/A,Question,Closed,User didn't attend training,#N/A,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,false,#N/A
56d6b4e7-2677-49dd-a6de-76f4beee69aa,4b9e1789-4962-4ed4-a016-d026f66566e1,#N/A,#N/A,#N/A,#N/A,Feature Request,New,Complex Functionallity,#N/A,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,false,#N/A
e767308b-4720-40fa-92e4-9b03dcd8f6f3,cb161bba-7058-48dc-9d98-662858282bbf,#N/A,#N/A,#N/A,#N/A,Question,On Hold,User didn't attend training,#N/A,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,false,#N/A
1b97b812-824a-4f2a-8d76-3d6fddd3b55d,4daa6ee9-e671-4e3a-8a63-182797bea466,#N/A,#N/A,#N/A,#N/A,Feature Request,Rejected,New problem,#N/A,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,false,#N/A
2fe22c62-86ac-4485-a659-6eb4b7445c12,4233ce2f-cc3c-42d1-9548-9aba2ef045b8,#N/A,#N/A,#N/A,#N/A,Question,Pending Approval,User didn't attend training,#N/A,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,false,#N/A
3319ff80-3dcc-4107-88a7-8e4ec12977f2,1303adb4-87fc-47ff-93de-6d489aa30988,#N/A,#N/A,#N/A,#N/A,Feature Request,Escalated,New problem,#N/A,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,false,#N/A
92ede361-83b3-4a41-8a3c-a9e19ed5ce52,cee475b0-56b6-4f2b-be7b-7d8763f63226,#N/A,#N/A,#N/A,#N/A,Feature Request,Approved,Complex Functionallity,#N/A,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,false,#N/A
f4dae02d-56cb-462f-b66a-9468a382cb7c,62f2b56b-1f44-41ba-9f99-01514e74088f,#N/A,#N/A,#N/A,#N/A,Feature Request,New,New problem,#N/A,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,false,#N/A
e7830150-f994-4039-889f-d55800c0072f,ee38f8db-7f57-40e6-b9f4-9dc26bcdf63b,#N/A,#N/A,#N/A,#N/A,Feature Request,Closed,New problem,#N/A,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,false,#N/A
7254cefc-0034-457e-9b73-654a61b67396,d7da7fba-3d87-46e4-9356-2c6cc3a4482d,#N/A,#N/A,#N/A,#N/A,Feature Request,Approved,New problem,#N/A,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,false,#N/A
fbc74920-5548-43a2-8348-9449d8ca42f3,652246af-0cee-4ef7-b9f0-5a54d48a66c4,#N/A,#N/A,#N/A,#N/A,Feature Request,Pending Approval,Complex Functionallity,#N/A,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,false,#N/A
8748a9c0-dc5b-47ff-9f47-b3d48ba82784,0ba3146b-df2e-499e-a5c7-428305fca5a0,#N/A,#N/A,#N/A,#N/A,Feature Request,Escalated,Instructions not clear,#N/A,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,false,#N/A
ca274651-52ce-46e8-97ae-eb7e576903a5,ad96271e-8a27-4acd-a620-c263e3965409,#N/A,#N/A,#N/A,#N/A,Feature Request,Rejected,Instructions not clear,#N/A,Login credentials,Medium,I have forgotten my login. Please send me new credentials.,false,#N/A
9c1e190f-32d8-4d33-be9b-00b008c1729a,ff1881c3-8a96-4c0c-b599-d070f4e4cfc4,#N/A,#N/A,#N/A,#N/A,Question,Rejected,User didn't attend training,#N/A,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,false,#N/A
1856ea6d-74a6-44b2-b975-93eae94ef371,c18f99eb-72c7-4af7-9926-151d12af36f2,#N/A,#N/A,#N/A,#N/A,Problem,New,New problem,#N/A,Quickmerge Setup,Medium,User Needs Help,false,#N/A
0b6f279e-d2db-469b-9c9f-b58e06ad155c,c8b97cf7-39e0-42c0-a414-f6ee777103bf,#N/A,#N/A,#N/A,#N/A,Feature Request,Rejected,New problem,#N/A,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,#N/A
60e18d17-3e62-4fee-b0a7-95e01d316b49,05d375ec-96c3-40f9-98b3-4744bd4132cf,#N/A,#N/A,#N/A,#N/A,Feature Request,Escalated,Instructions not clear,#N/A,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,#N/A
ee4e6836-99a7-49c6-a0b4-292da1d4dab5,56837d40-7123-4702-93a8-8aaacc4ada28,#N/A,#N/A,#N/A,#N/A,Feature Request,Approved,New problem,#N/A,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,false,#N/A
64b67305-fee2-4594-a7e8-7e293ad00df3,f50ce93e-c709-46b3-9646-d93f10cc9e86,#N/A,#N/A,#N/A,#N/A,Feature Request,New,Instructions not clear,#N/A,Login credentials,Medium,I have forgotten my login. Please send me new credentials.,false,#N/A
0f3d8a95-27e7-4cf7-93b8-29a28fa58b4f,fb5522c5-87e1-46ea-b43b-8fd75733ce15,#N/A,#N/A,#N/A,#N/A,Feature Request,Rejected,Instructions not clear,#N/A,Login credentials,Medium,I have forgotten my login. Please send me new credentials.,false,#N/A
d2fb324b-eeb7-41e8-bf1d-3689b833df86,256da401-4ea1-4b19-9a84-0c9903538d5d,#N/A,#N/A,#N/A,#N/A,Problem,Rejected,New problem,#N/A,Newest update cause an error,High,When I upgraded to the newest version some of my integrations broke,false,#N/A
24ad626a-28ad-4dfc-a04b-5a78b79aa5f7,8313a611-528f-4b17-91ee-a39a66338c7d,#N/A,#N/A,#N/A,#N/A,Problem,New,New problem,#N/A,Newest update cause an error,High,When I upgraded to the newest version some of my integrations broke,false,#N/A
bf2cb81c-5d7a-4ab9-b948-b6fd59d8b188,05ee173f-75d0-4368-a2c9-c5a22da7e476,#N/A,#N/A,#N/A,#N/A,Feature Request,Closed,Instructions not clear,#N/A,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,#N/A
2f1ddcfa-c248-4c93-92bb-25587fb39356,1bbbd83a-fd4e-4225-b2ec-428d01092afe,#N/A,#N/A,#N/A,#N/A,Feature Request,On Hold,Instructions not clear,#N/A,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,#N/A
8895001f-2349-4ba6-afa8-ce84f1cbecca,a25e7c5a-d566-4bcc-b900-1523563c50dd,#N/A,#N/A,#N/A,#N/A,Problem,Escalated,New problem,#N/A,Newest update cause an error,High,When I upgraded to the newest version some of my integrations broke,false,#N/A
b9ccb866-4bb4-4798-82d3-26391f0157b6,bdf830b1-f7d4-4b49-8b9d-5237f5acc9d6,#N/A,#N/A,#N/A,#N/A,Feature Request,Approved,Instructions not clear,#N/A,Login credentials,Medium,I have forgotten my login. Please send me new credentials.,false,#N/A
91a6dd2d-6720-445e-8777-5913c39a5e76,f26b90b0-0e0b-4759-b078-dd34ef69e2fc,#N/A,#N/A,#N/A,#N/A,Question,Pending Approval,User didn't attend training,#N/A,Requirements and subscription questions,Medium,Prefers Direct Phone Outreach,false,#N/A
2ebc1076-731b-4e57-b60e-36e1a0c09cfd,7dab72e3-a96e-47b0-a303-6e2536e8930a,#N/A,#N/A,#N/A,#N/A,Feature Request,New,New problem,#N/A,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,false,#N/A
94c30e56-7505-494f-a121-c2935053e62c,cc08c154-76c4-4769-be40-aaf165e440b3,#N/A,#N/A,#N/A,#N/A,Question,Escalated,User didn't attend training,#N/A,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,false,#N/A
b7a4b61d-8d42-4c02-bd79-fc419e94e562,af33cce6-6933-473d-bbee-8604a2905a12,#N/A,#N/A,#N/A,#N/A,Feature Request,On Hold,New problem,#N/A,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,false,#N/A
968d05fc-e56a-4152-8a0e-1fcc0a836b9b,d9e79863-e6a3-48c7-ab78-42d550399e9a,#N/A,#N/A,#N/A,#N/A,Feature Request,On Hold,New problem,#N/A,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,#N/A
5119df10-f3ac-4340-a424-1d835309023f,8cc6be39-02de-4554-9f76-cb3a8966759a,#N/A,#N/A,#N/A,#N/A,Problem,Escalated,New problem,#N/A,Newest update cause an error,High,When I upgraded to the newest version some of my integrations broke,false,#N/A
c3e9036f-3659-463c-b44e-eadf73f3faa4,8313a611-528f-4b17-91ee-a39a66338c7d,#N/A,#N/A,#N/A,#N/A,Feature Request,Rejected,New problem,#N/A,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,#N/A
5e60de52-9376-4fc9-921f-e4c36c28af48,37a48864-056a-4181-84b9-1c220a4f6912,#N/A,#N/A,#N/A,#N/A,Question,New,User didn't attend training,#N/A,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,false,#N/A
ca5793bd-37dd-4740-9052-2a129ef50973,af50583b-0637-4b81-8424-b0537cd29c57,#N/A,#N/A,#N/A,#N/A,Feature Request,On Hold,Instructions not clear,#N/A,Login credentials,Medium,I have forgotten my login. Please send me new credentials.,false,#N/A
a197adf8-8923-4191-b274-490f67721d25,0ba3146b-df2e-499e-a5c7-428305fca5a0,#N/A,#N/A,#N/A,#N/A,Question,Approved,User didn't attend training,#N/A,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,false,#N/A
8c2490c8-b7e7-4c5c-8c86-e1d7ce99700c,af50583b-0637-4b81-8424-b0537cd29c57,#N/A,#N/A,#N/A,#N/A,Feature Request,Rejected,Instructions not clear,#N/A,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,#N/A
c5f6a2ff-e706-406c-bfcc-5c40f57c24f7,05ee173f-75d0-4368-a2c9-c5a22da7e476,#N/A,#N/A,#N/A,#N/A,Feature Request,Pending Approval,Instructions not clear,#N/A,Login credentials,Medium,I have forgotten my login. Please send me new credentials.,false,#N/A
afd302a5-3b3c-4e9c-be86-1e66f8a0a6c7,2c76af4a-bec1-44da-999a-3610507f3429,#N/A,#N/A,#N/A,#N/A,Question,Closed,Complex functionality,#N/A,Customization Help,Medium,EMEA Case,false,#N/A
a89c4d68-e9ae-483e-886b-3fdd57e956ed,b7514256-f9d9-4c0c-8305-6245fe192f18,#N/A,#N/A,#N/A,#N/A,Question,Pending Approval,User didn't attend training,#N/A,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,false,#N/A
b73231b2-41cf-4a1d-a238-347f28a5a6de,11d346f5-d91c-438b-a9d8-dd1efc12a83d,#N/A,#N/A,#N/A,#N/A,Feature Request,Closed,Instructions not clear,#N/A,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,false,#N/A
a0a31f50-f7a7-40ba-8930-39aca2e817db,e34ef005-0cd8-4a93-a6bb-0f30f0aa1503,#N/A,#N/A,#N/A,#N/A,Feature Request,Approved,Instructions not clear,#N/A,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,#N/A
14d8730f-59a5-477d-8e0e-ff4c25d1be4f,35e6cdf2-b98a-4813-805e-b3ea5fa07b70,#N/A,#N/A,#N/A,#N/A,Question,Rejected,Complex functionality,#N/A,How to use  Image Fields (Word),Medium,Prefers Direct Phone Outreach,false,#N/A
eada22dd-034e-4415-8916-e4bf5ccb3492,b7514256-f9d9-4c0c-8305-6245fe192f18,#N/A,#N/A,#N/A,#N/A,Question,Approved,User didn't attend training,#N/A,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,false,#N/A
060d9b7a-001c-418a-bbbf-9cd973df2ac1,04d3de75-945d-439c-8b37-04783fd2a292,#N/A,#N/A,#N/A,#N/A,Feature Request,Pending Approval,Instructions not clear,#N/A,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,#N/A
4da03fb4-854b-4f14-b01d-12115b0905e6,a49920b1-d25e-499b-8d5b-dce2a9d90838,#N/A,#N/A,#N/A,#N/A,Feature Request,On Hold,Instructions not clear,#N/A,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,#N/A
509d2898-cbfb-4e19-9a67-e4c37a231f08,d867db18-5043-4bfa-8ac8-1b8c48cd4ee5,#N/A,#N/A,#N/A,#N/A,Feature Request,Escalated,New problem,#N/A,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,false,#N/A
e902a771-113c-43bc-9ce1-ab9397b0ac12,4b9e1789-4962-4ed4-a016-d026f66566e1,#N/A,#N/A,#N/A,#N/A,Feature Request,Escalated,New problem,#N/A,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,false,#N/A
c0b88752-3c80-4727-b0de-98497db8e897,4b9e1789-4962-4ed4-a016-d026f66566e1,#N/A,#N/A,#N/A,#N/A,Feature Request,On Hold,New problem,#N/A,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,#N/A
fc67634c-7f1f-4ac8-b2fd-1ea680394b84,05ca9c0e-ce11-4357-973b-23a76ea0e91c,#N/A,#N/A,#N/A,#N/A,Feature Request,Rejected,New problem,#N/A,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,false,#N/A
97beb1c3-3163-42a6-be38-30c3238a5329,cb7c2d45-b609-457a-bd90-24eb4853dc2f,#N/A,#N/A,#N/A,#N/A,Feature Request,Pending Approval,Instructions not clear,#N/A,Login credentials,Medium,I have forgotten my login. Please send me new credentials.,false,#N/A
ebe4eb4f-cb91-4809-bce1-01129a3b39b0,e5fcdd56-47f8-4694-bfa1-12a494ae728e,#N/A,#N/A,#N/A,#N/A,Feature Request,On Hold,Instructions not clear,#N/A,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,false,#N/A
bfe0b057-2b08-4943-9556-6b8b2658512d,5072ef92-6fcd-4355-af48-36ed83d1667c,#N/A,#N/A,#N/A,#N/A,Feature Request,Closed,New problem,#N/A,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,false,#N/A
575fd016-f2e3-4165-9ae6-5750d9d34ed8,fa42db97-2bda-4f4b-8598-385a012389af,#N/A,#N/A,#N/A,#N/A,Feature Request,New,Complex Functionallity,#N/A,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,false,#N/A
c51dda18-70f8-43e9-8eef-6483f6357fba,b235ed90-f192-4087-a777-490f1966d422,#N/A,#N/A,#N/A,#N/A,Feature Request,Pending Approval,New problem,#N/A,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,#N/A
d62658e5-44de-4a3a-b863-370036349ec1,d5154e81-89a1-4a3b-a970-4a60245f5132,#N/A,#N/A,#N/A,#N/A,#N/A,Closed,#N/A,#N/A,Issue resetting my password*,Medium,Having trouble resetting my password. I logged out and can't remember my password.,false,#N/A
128d5425-3ee6-4520-893c-03e0d342b88f,5aa47b5f-63aa-42d5-bde2-dfd9bcf3f36e,#N/A,#N/A,#N/A,#N/A,Feature Request,Approved,Instructions not clear,#N/A,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,false,#N/A
576ae62f-2a13-425b-b219-d4660badf101,0255c937-e703-4505-b7a9-8c9747e8b113,#N/A,#N/A,#N/A,#N/A,Problem,New,Existing problem,#N/A,Full Trial Requested,Medium,User Needs Help,false,#N/A
cf51e5d7-54f0-4c41-a41d-e2891ad2c38f,11d346f5-d91c-438b-a9d8-dd1efc12a83d,#N/A,#N/A,#N/A,#N/A,Question,Escalated,User didn't attend training,#N/A,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,false,#N/A
ddb3238e-80c3-4e59-b6b6-9c649adb6b82,9f6814d7-8a04-4d8f-856d-3975f8f0cb00,#N/A,#N/A,#N/A,#N/A,Feature Request,On Hold,Instructions not clear,#N/A,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,#N/A
92a16ac8-0677-4bb4-aac5-7e24abe11f61,f0522c69-0b13-4310-b6fd-142c6f0a1e55,#N/A,#N/A,#N/A,#N/A,Question,On Hold,User didn't attend training,#N/A,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,false,#N/A
4c0f1a6d-8f0a-4428-bdc5-2b1fde2ce9eb,ff1881c3-8a96-4c0c-b599-d070f4e4cfc4,#N/A,#N/A,#N/A,#N/A,Problem,Rejected,User didn't attend training,#N/A,Adding new merge field to a template,Medium,User Needs Help,false,#N/A
451c6ac5-9b92-4af1-a38a-b06c4c3373be,d5154e81-89a1-4a3b-a970-4a60245f5132,#N/A,#N/A,#N/A,#N/A,Feature Request,Approved,New problem,#N/A,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,#N/A
83aab531-33aa-452f-9c90-4bc7c4d18278,05ee173f-75d0-4368-a2c9-c5a22da7e476,#N/A,#N/A,#N/A,#N/A,Feature Request,Pending Approval,New problem,#N/A,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,#N/A
5250b428-822f-4162-8c38-227d9b0699c1,11d346f5-d91c-438b-a9d8-dd1efc12a83d,#N/A,#N/A,#N/A,#N/A,Question,On Hold,User didn't attend training,#N/A,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,false,#N/A
d28b4d32-8db3-4244-95a1-0b5e3ce3deb7,1e05b318-1f15-4c70-a33e-d32f47b5ee72,#N/A,#N/A,#N/A,#N/A,Feature Request,Closed,Instructions not clear,#N/A,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,false,#N/A
d2c2e67a-a94b-4629-ad87-eb1e8fb6004a,175d987e-c994-4755-ade1-843834b6ed5d,#N/A,#N/A,#N/A,#N/A,Feature Request,New,Instructions not clear,#N/A,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,#N/A
5bb3bcc7-f192-4c79-a788-64c23c2793a5,fa42db97-2bda-4f4b-8598-385a012389af,#N/A,#N/A,#N/A,#N/A,Feature Request,Escalated,New problem,#N/A,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,false,#N/A
6dde0198-2933-4027-9dbd-370c0b842eb7,05d375ec-96c3-40f9-98b3-4744bd4132cf,#N/A,#N/A,#N/A,#N/A,Feature Request,Closed,Instructions not clear,#N/A,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,false,#N/A
24803d93-69d7-4957-8e0d-2fd503c4297d,e5fcdd56-47f8-4694-bfa1-12a494ae728e,#N/A,#N/A,#N/A,#N/A,Question,Pending Approval,User didn't attend training,#N/A,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,false,#N/A
cef40c73-4e2a-4462-b6eb-d82f908a5f4a,02fbb698-e655-4f56-8006-d0a1c122ed05,#N/A,#N/A,#N/A,#N/A,Feature Request,Rejected,New problem,#N/A,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,false,#N/A
